,num_words,use_tfidf,model,accuracy,precision,recall,f1,auc
135,680,True,tree100,0.556369460061551,0.5875762554333545,0.5952942971021404,0.5914080753938119,0.5199292285440676
136,690,True,log,0.564197801572781,0.7438447608980491,0.29448159799709117,0.4219171381896748,0.6965700125440035
137,690,True,tree100,0.5576352542655136,0.5889016617465029,0.5993167329406826,0.5940561446874791,0.5244712290687578
138,700,True,log,0.5660861062884547,0.7452255085025592,0.29977694848425507,0.4275369942896609,0.6942098463856015
139,700,True,tree100,0.5573980205858642,0.5893561511719498,0.5976684086757584,0.5934794479765065,0.526835767718897
140,710,True,log,0.5657167675245576,0.7482933525994898,0.29442790907274285,0.4225589595967468,0.696284917240082
141,710,True,tree100,0.5571508566604039,0.5887547093714696,0.5953601392277935,0.5920366693202157,0.5246066691475143
142,720,True,log,0.5668251692607822,0.7458478199129029,0.29916652130098803,0.4270239641528894,0.6937705437485797
143,720,True,tree100,0.5585913883645144,0.5896799823793593,0.5981982572453589,0.5939077011789389,0.5197051573413785
144,730,True,log,0.5682825207812149,0.7487427762888089,0.3050232300310506,0.4334520335905278,0.7023925026108564
145,730,True,tree100,0.5576717811503678,0.5902358950373408,0.5987094496608102,0.5944346645096413,0.527741211962515
146,740,True,log,0.5678112229203707,0.7486633811180645,0.30295639501338767,0.4313290431897861,0.6982742573916165
147,740,True,tree100,0.560087925818722,0.5921893765024749,0.6004872401791398,0.5963080977977423,0.5251205448850029
148,750,True,log,0.5680973222833972,0.7466125099674209,0.30036478649387266,0.4283688163473508,0.700414464130394
149,750,True,tree100,0.5586855768552524,0.5895395718807049,0.5957173002013892,0.5926063627831135,0.5312639488557822
150,760,True,log,0.5671409908394531,0.744985131448807,0.30020830287612355,0.42793990125458004,0.7033908006423197
151,760,True,tree100,0.5597024737228017,0.590417967278966,0.5995922652524566,0.5949613882622404,0.5223531092832836
152,770,True,log,0.5686169108719608,0.7479813728877146,0.3035560626185008,0.4318409445203484,0.6963299901904423
153,770,True,tree100,0.5578341239431215,0.589534950063799,0.5968752983904436,0.5931691956733761,0.5222139523576252
154,780,True,log,0.5700151800006392,0.750691317970721,0.30475544028827795,0.4334942346292527,0.6992667328110758
155,780,True,tree100,0.5583917297117308,0.5902127237278562,0.595271528237259,0.5927263702599557,0.5254145473299914
156,790,True,log,0.5690053213564447,0.7469792459881408,0.30390157163175646,0.43201199925672207,0.7007779613593151
157,790,True,tree100,0.5593563937418471,0.5906274912700981,0.5964460181522252,0.5935123890302287,0.5274234476191003
158,800,True,log,0.5704461477325924,0.748312110323483,0.3053058909731069,0.4336569641192246,0.6950824522176091
159,800,True,tree100,0.5580579858513344,0.5893411849899094,0.5923404295728456,0.5908305825232942,0.5274491708727083
160,810,True,log,0.570209671554963,0.7483507380785508,0.30654387541179995,0.43492659842535125,0.7032524540115012
161,810,True,tree100,0.5593907809154446,0.5906842643547376,0.5973345312967954,0.5939886882163444,0.5329344835234546
162,820,True,log,0.5689691388392574,0.7464511813847324,0.3033918372309572,0.4314300411559553,0.7012740335384355
163,820,True,tree100,0.5566650532190905,0.5877663541961266,0.5943584684826523,0.5910421746246288,0.5262053118535812
164,830,True,log,0.5714273954970748,0.7473095875930629,0.309597662396044,0.43779599343243253,0.6959617877150792
165,830,True,tree100,0.5587299354037849,0.5897527389059496,0.5958942084363528,0.5928048040541196,0.5271558939697105
166,840,True,log,0.5695514372005265,0.7479374578652919,0.30583395661929696,0.4341173268129882,0.7012260001886177
